Image,Age,Gender,Race,Emotion
disgust_-_S005_001_00000009.png,27,Woman,asian,angry
disgust_-_S005_001_00000010.png,28,Man,asian,angry
disgust_-_S005_001_00000011.png,26,Woman,asian,angry
disgust_-_S011_005_00000018.png,25,Man,white,angry
disgust_-_S011_005_00000019.png,24,Man,white,angry
disgust_-_S011_005_00000020.png,24,Man,white,angry
disgust_-_S022_006_00000015.png,27,Woman,latino hispanic,sad
disgust_-_S022_006_00000016.png,27,Woman,latino hispanic,sad
disgust_-_S022_006_00000017.png,28,Woman,latino hispanic,angry
disgust_-_S032_005_00000014.png,27,Man,white,angry
disgust_-_S032_005_00000015.png,27,Man,white,angry
disgust_-_S032_005_00000016.png,27,Man,white,angry
disgust_-_S035_005_00000017.png,23,Man,white,neutral
disgust_-_S035_005_00000018.png,23,Man,white,angry
disgust_-_S035_005_00000019.png,23,Man,white,disgust
disgust_-_S044_006_00000017.png,28,Man,latino hispanic,angry
disgust_-_S044_006_00000018.png,28,Man,white,angry
disgust_-_S044_006_00000019.png,31,Man,white,angry
disgust_-_S045_004_00000013.png,35,Man,white,angry
disgust_-_S045_004_00000014.png,36,Man,white,angry
disgust_-_S045_004_00000015.png,36,Man,white,angry
disgust_-_S046_004_00000015.png,42,Woman,white,neutral
disgust_-_S046_004_00000016.png,39,Woman,white,angry
disgust_-_S046_004_00000017.png,39,Woman,white,disgust
disgust_-_S051_003_00000016.png,35,Man,black,sad
disgust_-_S051_003_00000017.png,35,Man,black,happy
disgust_-_S051_003_00000018.png,36,Man,black,sad
disgust_-_S052_006_00000011.png,28,Woman,white,angry
disgust_-_S052_006_00000012.png,27,Woman,white,angry
disgust_-_S052_006_00000013.png,27,Woman,white,angry
disgust_-_S054_004_00000022.png,23,Man,white,angry
disgust_-_S054_004_00000023.png,24,Man,white,angry
disgust_-_S054_004_00000024.png,24,Man,white,angry
disgust_-_S055_003_00000007.png,26,Man,white,angry
disgust_-_S055_003_00000008.png,27,Man,white,angry
disgust_-_S055_003_00000009.png,27,Man,white,angry
disgust_-_S056_002_00000008.png,29,Man,middle eastern,angry
disgust_-_S056_002_00000009.png,29,Man,white,angry
disgust_-_S056_002_00000010.png,29,Man,middle eastern,angry
disgust_-_S057_003_00000013.png,39,Woman,white,neutral
disgust_-_S057_003_00000014.png,39,Woman,white,neutral
disgust_-_S057_003_00000015.png,39,Woman,white,neutral
disgust_-_S058_006_00000016.png,28,Man,white,angry
disgust_-_S058_006_00000017.png,26,Man,white,angry
disgust_-_S058_006_00000018.png,27,Man,white,angry
disgust_-_S060_005_00000019.png,29,Woman,white,angry
disgust_-_S060_005_00000020.png,29,Woman,white,angry
disgust_-_S060_005_00000021.png,29,Woman,latino hispanic,angry
disgust_-_S061_004_00000020.png,26,Man,white,disgust
disgust_-_S061_004_00000021.png,26,Man,white,angry
disgust_-_S061_004_00000022.png,26,Man,white,disgust
disgust_-_S062_005_00000027.png,34,Man,middle eastern,happy
disgust_-_S062_005_00000028.png,35,Man,middle eastern,happy
disgust_-_S062_005_00000029.png,33,Man,middle eastern,happy
disgust_-_S065_005_00000006.png,38,Man,white,neutral
disgust_-_S065_005_00000007.png,39,Man,white,neutral
disgust_-_S065_005_00000008.png,39,Man,white,neutral
disgust_-_S067_006_00000009.png,32,Woman,white,angry
disgust_-_S067_006_00000010.png,32,Woman,white,angry
disgust_-_S067_006_00000011.png,33,Woman,white,angry
disgust_-_S068_005_00000019.png,29,Woman,white,angry
disgust_-_S068_005_00000020.png,30,Woman,white,angry
disgust_-_S068_005_00000021.png,33,Woman,white,angry
disgust_-_S069_003_00000009.png,31,Man,black,angry
disgust_-_S069_003_00000010.png,31,Man,black,angry
disgust_-_S069_003_00000011.png,32,Man,black,angry
disgust_-_S070_005_00000014.png,32,Woman,black,angry
disgust_-_S070_005_00000015.png,33,Woman,black,angry
disgust_-_S070_005_00000016.png,34,Man,black,angry
disgust_-_S071_006_00000012.png,29,Woman,white,disgust
disgust_-_S071_006_00000013.png,29,Woman,white,angry
disgust_-_S071_006_00000014.png,29,Woman,white,disgust
disgust_-_S073_006_00000012.png,31,Man,middle eastern,angry
disgust_-_S073_006_00000013.png,31,Man,white,angry
disgust_-_S073_006_00000014.png,31,Man,white,angry
disgust_-_S074_004_00000016.png,33,Woman,white,angry
disgust_-_S074_004_00000017.png,32,Woman,white,angry
disgust_-_S074_004_00000018.png,32,Woman,white,angry
disgust_-_S075_005_00000010.png,30,Man,white,angry
disgust_-_S075_005_00000011.png,29,Man,latino hispanic,angry
disgust_-_S075_005_00000012.png,29,Man,white,angry
disgust_-_S076_005_00000010.png,31,Woman,white,angry
disgust_-_S076_005_00000011.png,33,Woman,white,angry
disgust_-_S076_005_00000012.png,32,Woman,white,angry
disgust_-_S077_006_00000012.png,27,Woman,white,neutral
disgust_-_S077_006_00000013.png,29,Woman,white,neutral
disgust_-_S077_006_00000014.png,29,Woman,white,neutral
disgust_-_S078_007_00000011.png,39,Woman,white,angry
disgust_-_S078_007_00000012.png,39,Woman,white,angry
disgust_-_S078_007_00000013.png,40,Woman,white,angry
disgust_-_S079_002_00000010.png,27,Man,white,angry
disgust_-_S079_002_00000011.png,26,Woman,white,angry
disgust_-_S079_002_00000012.png,26,Woman,white,angry
disgust_-_S080_008_00000007.png,35,Man,middle eastern,angry
disgust_-_S080_008_00000008.png,33,Man,middle eastern,angry
disgust_-_S080_008_00000009.png,33,Man,middle eastern,angry
disgust_-_S081_008_00000009.png,31,Man,white,disgust
disgust_-_S081_008_00000010.png,30,Man,white,neutral
disgust_-_S081_008_00000011.png,30,Man,white,angry
disgust_-_S082_007_00000008.png,30,Man,white,angry
disgust_-_S082_007_00000009.png,31,Man,white,angry
