Image,Age,Gender,Race,Emotion
disgust_-_PrivateTest_11895083.jpg,31,Man,white,neutral
disgust_-_PrivateTest_19671520.jpg,33,Man,white,angry
disgust_-_PrivateTest_21629266.jpg,28,Man,white,disgust
disgust_-_PrivateTest_22382996.jpg,35,Man,latino hispanic,disgust
disgust_-_PrivateTest_26306320.jpg,27,Man,asian,fear
disgust_-_PrivateTest_29901781.jpg,37,Man,white,disgust
disgust_-_PrivateTest_30523217.jpg,34,Man,asian,angry
disgust_-_PrivateTest_34013087.jpg,28,Man,white,angry
disgust_-_PrivateTest_34426922.jpg,39,Woman,white,sad
disgust_-_PrivateTest_36627671.jpg,37,Man,middle eastern,disgust
disgust_-_PrivateTest_36724992.jpg,30,Man,white,disgust
disgust_-_PrivateTest_3838250.jpg,32,Man,asian,neutral
disgust_-_PrivateTest_38750068.jpg,32,Man,asian,angry
disgust_-_PrivateTest_3881740.jpg,37,Man,latino hispanic,neutral
disgust_-_PrivateTest_3929526.jpg,39,Man,white,sad
disgust_-_PrivateTest_40016880.jpg,31,Woman,white,sad
disgust_-_PrivateTest_4396496.jpg,23,Man,middle eastern,angry
disgust_-_PrivateTest_4407805.jpg,35,Man,white,angry
disgust_-_PrivateTest_46114477.jpg,39,Man,middle eastern,disgust
disgust_-_PrivateTest_47412023.jpg,28,Man,white,angry
disgust_-_PrivateTest_4783181.jpg,42,Woman,white,disgust
disgust_-_PrivateTest_50594067.jpg,31,Woman,asian,disgust
disgust_-_PrivateTest_51400934.jpg,26,Man,white,angry
disgust_-_PrivateTest_52177909.jpg,27,Man,middle eastern,sad
disgust_-_PrivateTest_53395751.jpg,23,Man,white,angry
disgust_-_PrivateTest_53414692.jpg,33,Man,black,sad
disgust_-_PrivateTest_57834460.jpg,31,Man,latino hispanic,angry
disgust_-_PrivateTest_60065393.jpg,44,Man,white,sad
disgust_-_PrivateTest_60265572.jpg,43,Woman,white,angry
disgust_-_PrivateTest_60490187.jpg,30,Woman,latino hispanic,disgust
disgust_-_PrivateTest_62447860.jpg,31,Woman,white,fear
disgust_-_PrivateTest_6783917.jpg,29,Man,white,sad
disgust_-_PrivateTest_71031546.jpg,38,Man,white,fear
disgust_-_PrivateTest_71883356.jpg,26,Man,asian,disgust
disgust_-_PrivateTest_76656607.jpg,31,Man,white,disgust
disgust_-_PrivateTest_79216084.jpg,23,Man,asian,fear
disgust_-_PrivateTest_79683471.jpg,27,Man,asian,disgust
disgust_-_PrivateTest_79831191.jpg,31,Woman,asian,neutral
disgust_-_PrivateTest_80468582.jpg,46,Man,asian,neutral
disgust_-_PrivateTest_807646.jpg,26,Man,white,happy
disgust_-_PrivateTest_84160446.jpg,31,Woman,asian,sad
disgust_-_PrivateTest_84635755.jpg,32,Woman,white,angry
disgust_-_PrivateTest_85928336.jpg,21,Man,white,angry
disgust_-_PrivateTest_87187926.jpg,32,Man,asian,fear
disgust_-_PrivateTest_87787006.jpg,35,Woman,asian,angry
disgust_-_PrivateTest_88910113.jpg,23,Man,asian,fear
disgust_-_PrivateTest_89077668.jpg,34,Man,white,neutral
disgust_-_PrivateTest_90157239.jpg,35,Man,black,neutral
disgust_-_PrivateTest_91247555.jpg,38,Man,middle eastern,angry
disgust_-_PrivateTest_92933222.jpg,26,Man,latino hispanic,fear
disgust_-_PrivateTest_93390752.jpg,42,Man,white,angry
disgust_-_PrivateTest_95250268.jpg,31,Man,asian,disgust
disgust_-_PrivateTest_98799539.jpg,55,Man,asian,disgust
disgust_-_PrivateTest_98947037.jpg,23,Man,white,disgust
disgust_-_PrivateTest_99700775.jpg,48,Man,middle eastern,disgust
disgust_-_PublicTest_11387162.jpg,46,Man,asian,neutral
disgust_-_PublicTest_1145545.jpg,32,Woman,white,angry
disgust_-_PublicTest_1274561.jpg,35,Woman,asian,fear
disgust_-_PublicTest_15466645.jpg,37,Man,black,disgust
disgust_-_PublicTest_15595284.jpg,30,Man,asian,sad
disgust_-_PublicTest_16053137.jpg,24,Man,latino hispanic,neutral
disgust_-_PublicTest_1799001.jpg,35,Man,white,neutral
disgust_-_PublicTest_1829684.jpg,25,Man,asian,angry
disgust_-_PublicTest_20464211.jpg,32,Woman,white,neutral
