Image Names,FolderNames,age,gender,ethnicity,emotions
ffhq_130,neutral,baby (0-1),Woman,Asian,neutral
ffhq_0,neutral,baby (0-1),Woman,Indian,neutral
image0020311,sad,baby (0-1),Man,Black,sad
Image0001063,anger,baby (0-1),Woman,White,anger
ffhq_30,surprise,baby (0-1),Man,Middle eastern,surprise
image0016644,fear,baby (0-1),Man,Latino hispanic,fear
Ffhq_48,disgust,child (1-9),Woman,Asian,disgust
Image0011562,disgust,child (1-9),Man,Indian,disgust
Ffhq_357,happy,child (1-9),Man,Black,happy
Image0020189,sad,child (1-9),Man,White,sad
image0018838,fear,child (1-9),Man,Middle eastern,fear
Ffhq_7,happy,child (1-9),Man,Latino hispanic,happy
Image0019021,contempt,adolescent (10-19),Woman,Asian,contempt
Image0001685,fear,adolescent (10-19),Woman,Indian,fear
Image0000866,disgust,adolescent (10-19),Man,Black,disgust
Ffhq_15,surprise,adolescent (10-19),Man,White,surprise
Image0012755,fear,adolescent (10-19),Man,Middle eastern,fear
image0006264,contempt,adolescent (10-19),Woman,Latino hispanic,contempt
Ffhq_15,neutral,young adult (20-29),Woman,Asian,neutral
Ffhq_367,surprise,young adult (20-29),Man,Indian,surprise
Ffhq_74,contempt,young adult (20-29),Woman,Black,contempt
Image0020274,sad,young adult (20-29),Woman,White,sad
Ffhq_36,disgust,young adult (20-29),Woman,Middle eastern,disgust
Image0003731,fear,young adult (20-29),Man,Latino hispanic,fear
Ffhq_3,happy,middle-aged (30-49),Woman,Asian,happy
Ffhq_54,neutral,middle-aged (30-49),Man,Indian,neutral
Ffhq_164,happy,middle-aged (30-49),Man,Black,happy
image0016204,sad,middle-aged (30-49),Woman,White,sad
Image0003108,anger,middle-aged (30-49),Man,Middle eastern,anger
Ffhq_10,happy,middle-aged (30-49),Woman,Latino hispanic,happy
image0016331,sad,older adult (50-65),Woman,Asian,sad
Image0013449,fear,older adult (50-65),Woman,Indian,fear
Ffhq_72,neutral,older adult (50-65),Man,Black,neutral
Ffhq_107,neutral,older adult (50-65),Woman,White,neutral
Ffhq_736,neutral,older adult (50-65),Man,Middle eastern,neutral
Image0002926,disgust,older adult (50-65),Man,Latino hispanic,disgust
Image0013196,contempt,and elderly (65+),Man,Asian,contempt
ffhq_498,neutral,and elderly (65+),Woman,Indian,neutral
Ffhq_20,disgust,and elderly (65+),Man,Black,disgust
Image0023529,surprise,and elderly (65+),Woman,White,surprise
Image0006237,sad,and elderly (65+),Man,Middle eastern,sad
image0035153,contempt,and elderly (65+),Woman,Latino hispanic,contempt
